TeamName,RepoLink,PingURL,Sandbox,IsETP
AchaarAI,https://github.com/hackathon2024-march/AchaarAI,http://34.134.9.81:5000/esg/benchmark/ping,GCP,0
AI_for_Impact,https://github.com/hackathon2024-march/ai_for_impact,https://ai-impact-ui.azurewebsites.net/ping,Azure,0
AI_Innovators,https://github.com/hackathon2024-march/AI_Innovators,,GCP,0
AI-Agents,https://github.com/hackathon2024-march/ai-agents,http://localhost:8080/ping,Azure,0
AI-Benchmark,https://github.com/hackathon2024-march/ai-benchmark,https://team358-benchmarking-ui.azurewebsites.net/ping,Azure,0
AIMLChallengers,https://github.com/hackathon2024-march/aimlchallengers,http://benchmark-aimlchallengers.azurewebsites.net/ping,Azure,0
AiMLExplorers,https://github.com/hackathon2024-march/AiMLExplorers,https://esgbenchmark-hzjjublqba-ue.a.run.app/esg/benchmark/keepalive/ping,GCP,0
AI-Pilots,https://github.com/hackathon2024-march/ai-pilots,https://ai-pilots-benchmarkapp.azurewebsites.net/Benchmark/esgbenchmark/getreport?CompanyName=watts,Azure,0
Brown,https://github.com/hackathon2024-march/Brown,https://wf-esg-benchmarking-cloud-run-service-hituzwav3a-el.a.run.app/api/esg/benchmark/keepalive,GCP,1
ByteLingo,https://github.com/hackathon2024-march/ByteLingo,http://34.172.242.43:8001/esg/benchmark/keepalive/ping,GCP,0
CCGO,https://github.com/hackathon2024-march/ccgo,https://github.com/Hackathon2024-March/ccgo/blob/main/artifacts/playbook/Hackathon_2024.ipynb/ping,Azure,0
Chestnut,https://github.com/hackathon2024-march/chestnut,http://127.0.0.1:5000/esg/benchmark/ping,Azure,1
CloudAmigo's,https://github.com/hackathon2024-march/CloudAmigo's,https://app-engine-react-demo-dot-wellsfargo-genai24-8075.uc.r.appspot.com/,GCP,0
Code_Commandos,https://github.com/hackathon2024-march/Code_Commandos,http://localhost:8080/ping,GCP,0
CodeBots,https://github.com/hackathon2024-march/CodeBots,https://guru-benchmark.de.r.appspot.com/esg/benchmark/keepalive,GCP,0
CodeCrackers,https://github.com/hackathon2024-march/codecrackers,https://localhost:3000/ping,Azure,0
CodeCrew,https://github.com/hackathon2024-march/codecrew,https://esg-test.openai.azure.com/ping,Azure,0
CoffeeBytes,https://github.com/hackathon2024-march/CoffeeBytes,https://notavailable/ping,GCP,0
CovelongBeach,https://github.com/hackathon2024-march/CovelongBeach,https://ping,GCP,1
Creativity,https://github.com/hackathon2024-march/Creativity,https://hackathon-2024-esg-qg2muo7jya-uc.a.run.app/ping,GCP,0
Cyberdyne,https://github.com/hackathon2024-march/cyberdyne,https://confluence.wellsfargo.net/pages/viewpage.action?pageId=2307743295 ,Azure,0
CyberMLInnovators,https://github.com/hackathon2024-march/CyberMLInnovators,https://esgreports/keepalive/ping,GCP,0
Daisy,https://github.com/hackathon2024-march/daisy,https://daisy-flask-app.azurewebsites.net,Azure,1
DallasDynamo,https://github.com/hackathon2024-march/DallasDynamo,https://github.com/Hackathon2024-March/dallasdynamo,GCP,0
DataDazzelers,https://github.com/hackathon2024-march/datadazzelers,https://datadazzelers.azurewebsites.net/,Azure,0
DigiBees,https://github.com/hackathon2024-march/digibees,https://esg380.azurewebsites.net/esg/benchmark/ping,Azure,0
DivideAndConquer,https://github.com/hackathon2024-march/divideandconquer,https://divideandconquer-api-v2.azurewebsites.net/ping,Azure,0
Elliot'sBeach,https://github.com/hackathon2024-march/elliot'sbeach,https://sustainability-benchmarking-elliots-beach.azurewebsites.net/ping,Azure,1
EPICAI,https://github.com/hackathon2024-march/EPICAI,https://epicaigateway-chu409eg.uc.gateway.dev/ping,GCP,0
Falcon,https://github.com/hackathon2024-march/Falcon,https://wellsfargo-genai24-8135-o4l3yojr3q-uc.a.run.app/ping,GCP,0
Galaxy,https://github.com/hackathon2024-march/galaxy,https://esgformrecognizer.cognitiveservices.azure.com/ping,Azure,0
GBF-Marvells,https://github.com/hackathon2024-march/GBF-Marvells,https://console.cloud.google.com/gbf-marvells/ping,GCP,0
GreenDreamers,https://github.com/hackathon2024-march/greendreamers,https://ecomark.azurewebsites.net/docs,Azure,0
GreenGenAI,https://github.com/hackathon2024-march/greengenai,http://greengenai.ramkumar.pw,Azure,0
Grey,https://github.com/hackathon2024-march/grey,http://teamgrey2024.azurewebsites.net/,Azure,1
Head-in-the-clouds,https://github.com/hackathon2024-march/Head-in-the-clouds,https://localhost:8000/wedidnotgettothis/ping,GCP,0
HelloCloud,https://github.com/hackathon2024-march/HelloCloud,http://34.173.44.162:3000/ping,GCP,0
IAmNotARobot,https://github.com/hackathon2024-march/iamnotarobot,https://esg-benchmarking-endpoint.azurewebsites.net/esg/benchmark/keepalive,Azure,0
Innovative_Techies,https://github.com/hackathon2024-march/innovative_techies,http://localhost:8080/ping,Azure,0
LogicLords,https://github.com/hackathon2024-march/logiclords,https://logiclords/ping,Azure,0
MarvelEnablers,https://github.com/hackathon2024-march/MarvelEnablers,https://us-central1-wellsfargo-genai24-8207.cloudfunctions.net/EnablersESGReporting,GCP,0
MetricsAI,https://github.com/hackathon2024-march/MetricsAI,https://wellsfargo-genai24-8214.de.r.appspot.com/,GCP,0
patrol,https://github.com/hackathon2024-march/patrol,https://chatbot-j54zwpkiga-uc.a.run.app,GCP,0
Red,https://github.com/hackathon2024-march/red,https://esgbenchmarkbackend.azurewebsites.net/ping,Azure,1
Reg_Titans,https://github.com/hackathon2024-march/reg_titans,https://esgreportandchatbot-app.azzurewebsites.net,Azure,0
Remediators,https://github.com/hackathon2024-march/Remediators,https://gcp-ai-api-uat-5ah7hzxyca-wn.a.run.app/ping,GCP,0
researchers_inline,https://github.com/hackathon2024-march/researchers_inline,https://researchers-inline-esg-test-2-exvapjifa-ul-a.run.app/esg/benchmark/keepalive/ping,GCP,0
Rockerz,https://github.com/hackathon2024-march/Rockerz,https://wellsfargo-genai24-8271.uc.r.appspot.com/ping,GCP,0
Shiloh,https://github.com/hackathon2024-march/Shiloh,https://esgbenchmark-va545flpnq-uc.a.run.app/ping,GCP,0
SkAInet,https://github.com/hackathon2024-march/SkAInet,https://34.120.243.141.nip.io/esg/benchmark/keepalive,GCP,0
TAO_AKH_DEV,https://github.com/hackathon2024-march/TAO_AKH_DEV,https://api-tad-final-2-nhfnravkta-uc.a.run.app/ping,GCP,0
Team_CC,https://github.com/hackathon2024-march/Team_CC,https://benchmarkautomation-wzmwhaygva-el.a.run.app/api/esg/benchmark/ping,GCP,0
Team_todo,https://github.com/hackathon2024-march/team_todo,http://locahost:3000/ping,Azure,0
TeamFennex,https://github.com/hackathon2024-march/TeamFennex,https://github.com/AnsarShaik496/SustainabiltyBenkmark,GCP,0
Team-Iowa,https://github.com/hackathon2024-march/team-iowa,https://teamiowa.azuresites.net/,Azure,0
Tech_Fargo,https://github.com/hackathon2024-march/Tech_Fargo,http:///ping,GCP,0
Tech-Bliss,https://github.com/hackathon2024-march/Tech-Bliss,https://wells-fargo-genai24-8317.de.r.appspot.com/ping,GCP,0
TechRaiders,https://github.com/hackathon2024-march/techraiders,https://hacksustain.azurewebsites.net/ping,Azure,0
TechTitan,https://github.com/hackathon2024-march/TechTitan,https://us-central1-wells-fargo-genai24-8329.cloudfunctions.net/ping,GCP,0
TechTitans,https://github.com/hackathon2024-march/techtitans,https://techtitans.azurewebservices.net/ping,Azure,0
TrackSpec,https://github.com/hackathon2024-march/trackspec,https://github.com/hackathon2024-march/trackspec,Azure,0
Train_Test_Split,https://github.com/hackathon2024-march/train_test_split,http://172.208.117.198/ping,Azure,0
warriors,https://github.com/hackathon2024-march/warriors,https://cspf-sit.wellsfargo.net/as/PzqrWamUV0/resume/as/authorization.ping,GCP,0
Zephyr,https://github.com/hackathon2024-march/Zephyr,https://wells-fargo-genai24-8370.uc.r.appspot.com/api/esg/benchmark/keepalive,GCP,0
ZeroByte,https://github.com/hackathon2024-march/ZeroByte,https://github.com/Hackathon2024-March/zerobyte/ping,GCP,0
