TeamName,Test Name,Test Score,API Response,Pdf Content
AchaarAI,TC1,0.0,<!doctype html><html lang=en><title>404 Not Found</title><h1>Not Found</h1><p>The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.</p>,
AchaarAI,TC2,0.0,<!doctype html><html lang=en><title>404 Not Found</title><h1>Not Found</h1><p>The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.</p>,
AchaarAI,TC3,0.0,<!doctype html><html lang=en><title>404 Not Found</title><h1>Not Found</h1><p>The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.</p>,
AI_for_Impact,TC1,0.0,,
AI_for_Impact,TC2,0.0,,
AI_for_Impact,TC3,0.0,,
AI_Innovators,TC1,0.0,,
AI_Innovators,TC2,0.0,,
AI_Innovators,TC3,0.0,,
AI-Agents,TC1,0.0,,
AI-Agents,TC2,0.0,,
AI-Agents,TC3,0.0,,
AI-Benchmark,TC1,0.0,,
AI-Benchmark,TC2,0.0,,
AI-Benchmark,TC3,0.0,,
AIMLChallengers,TC1,0.0,<!doctype html><html lang=en><title>404 Not Found</title><h1>Not Found</h1><p>The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.</p>,
AIMLChallengers,TC2,0.0,<!doctype html><html lang=en><title>404 Not Found</title><h1>Not Found</h1><p>The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.</p>,
AIMLChallengers,TC3,0.0,<!doctype html><html lang=en><title>404 Not Found</title><h1>Not Found</h1><p>The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.</p>,
AiMLExplorers,TC1,0.0,<!doctype html><html lang=en><title>404 Not Found</title><h1>Not Found</h1><p>The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.</p>,
AiMLExplorers,TC2,0.0,<!doctype html><html lang=en><title>404 Not Found</title><h1>Not Found</h1><p>The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.</p>,
AiMLExplorers,TC3,0.0,<!doctype html><html lang=en><title>404 Not Found</title><h1>Not Found</h1><p>The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.</p>,
