TeamName,Total Score,Comment
AchaarAI,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
AI_for_Impact,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
AI_Innovators,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
AI-Agents,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
AI-Benchmark,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
AIMLChallengers,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
AiMLExplorers,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
AI-Pilots,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Brown,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
ByteLingo,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
CCGO,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Chestnut,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
CloudAmigo's,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Code_Commandos,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
CodeBots,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
CodeCrackers,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
CodeCrew,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
CoffeeBytes,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
CovelongBeach,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Creativity,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Cyberdyne,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
CyberMLInnovators,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Daisy,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
DallasDynamo,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
DataDazzelers,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
DigiBees,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
DivideAndConquer,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Elliot'sBeach,49.375,"TC1 -> 39.375
TC2 -> 5.0
TC3 -> 5.0"
EPICAI,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Falcon,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Galaxy,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
GBF-Marvells,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
GreenDreamers,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
GreenGenAI,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Grey,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Head-in-the-clouds,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
HelloCloud,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
IAmNotARobot,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Innovative_Techies,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
LogicLords,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
MarvelEnablers,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
MetricsAI,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
patrol,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Red,40.0,"TC1 -> 35.0
TC2 -> 0.0
TC3 -> 5.0"
Reg_Titans,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Remediators,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
researchers_inline,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Rockerz,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Shiloh,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
SkAInet,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
TAO_AKH_DEV,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Team_CC,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Team_todo,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
TeamFennex,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Team-Iowa,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Tech_Fargo,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Tech-Bliss,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
TechRaiders,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
TechTitan,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
TechTitans,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
TrackSpec,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Train_Test_Split,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
warriors,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
Zephyr,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
ZeroByte,0.0,"TC1 -> 0.0
TC2 -> 0.0
TC3 -> 0.0"
